Bankrupt?, Non-industry income and expenditure/revenue, Persistent EPS in the Last Four Seasons, Interest Expense Ratio, Debt ratio %, Borrowing dependency, Working Capital to Total Assets, Quick Assets/Total Assets, Cash/Total Assets, Inventory/Working Capital, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Net Income to Total Assets
1,0.302646434,0.169140588,0.629951302,0.207576261,0.390284354,0.672775292,0.166672959,0.004094406,0.276920158,0.903224771,0.002021613,0.064855708,0.716845343
1,0.30355643,0.208943935,0.635172463,0.171176346,0.37676002,0.751110917,0.127236002,0.014947727,0.289641576,0.931065218,0.002225608,0.02551586,0.795297136
1,0.302035177,0.180580505,0.629631443,0.207515796,0.37909292,0.829501915,0.340200878,0.000990944,0.277455528,0.909903362,0.002060071,0.021387428,0.774669697
1,0.303349536,0.193722227,0.630228353,0.151464764,0.379742688,0.72575418,0.161574532,0.018850625,0.276580304,0.906902159,0.001831359,0.02416107,0.739554525
1,0.303474978,0.212536636,0.636054986,0.106509055,0.375025443,0.751822452,0.260329881,0.014160974,0.287912653,0.913850197,0.00222393,0.026385246,0.795015873
1,0.303115813,0.174435095,0.630183833,0.180427487,0.381448187,0.686728646,0.080263715,0.002645226,0.276678474,0.903041267,0.001865609,0.040093622,0.710420495
0,0.302814415,0.161482462,0.629987945,0.216101823,0.384998982,0.729416462,0.25509317,0.022988598,0.276643292,0.911441408,0.002120736,0.092802307,0.736619098
0,0.303544587,0.225205635,0.631379022,0.108202074,0.374219105,0.797005214,0.361219101,0.014615913,0.277275205,0.935449309,0.002359999,0.025482153,0.815350392
0,0.303583501,0.218398412,0.630914987,0.058590561,0.370253398,0.813737523,0.378625212,0.145189218,0.27708743,0.935200209,0.00227396,0.029884061,0.80364729
0,0.303482954,0.217831143,0.632188258,0.121292741,0.37450876,0.825695871,0.394951276,0.008772791,0.277337461,0.938289897,0.002269196,0.035891062,0.804194657
0,0.303758974,0.21896568,0.631236901,0.103576503,0.374179962,0.751204343,0.059900571,0.002056836,0.285100706,0.942828956,0.002337657,0.028802401,0.814110614
0,0.303604528,0.20468942,0.632095793,0.094385827,0.373113046,0.769113889,0.140018106,0.020542229,0.277598529,0.932955215,0.002256752,0.05695228,0.804886953
0,0.303434856,0.219343859,0.632377639,0.144662454,0.377306898,0.760000222,0.215491645,0.058218001,0.278908415,0.930139635,0.00227305,0.028981565,0.803260161
0,0.303491655,0.212914815,0.640422734,0.10656952,0.37315107,0.791909627,0.248973745,0.074169857,0.277413791,0.930763203,0.00221748,0.024483556,0.794157853
0,0.30356634,0.226434717,0.631670799,0.089639326,0.373692357,0.802390919,0.203548425,0.021194017,0.277183958,0.940251658,0.002569822,0.011941507,0.819715357
0,0.303461926,0.223787463,0.631097177,0.099071863,0.373544733,0.791990661,0.216980303,0.003766824,0.27734538,0.93354091,0.002289993,0.055381895,0.815418714
0,0.304319474,0.220194762,0.631239298,0.061281253,0.372267566,0.752032218,0.096143962,0.052866701,0.279968047,0.942018219,0.002551771,0.007678609,0.810421135
0,0.303558606,0.233052851,0.631059506,0.078725398,0.372724975,0.816363502,0.239670321,0.013907171,0.277289061,0.948858907,0.002360951,0.040018486,0.826642041
0,0.303522834,0.220005673,0.632451953,0.141336881,0.378709322,0.766580251,0.221159768,0.012801285,0.278048746,0.935009282,0.002318045,0.0200028,0.806263915
0,0.303467002,0.217452964,0.631267722,0.077485866,0.371230845,0.809073201,0.249596686,0.093503139,0.277320828,0.933563971,0.002242858,0.087295963,0.802551849
0,0.303553772,0.219343859,0.630623553,0.096350939,0.369637181,0.789153248,0.157050073,0.031924086,0.277067799,0.93976514,0.002293048,0.023529483,0.804639012
0,0.303530569,0.225394724,0.630982795,0.100734649,0.371209596,0.847345862,0.488012595,0.139413215,0.277122025,0.937920805,0.002322076,0.033490378,0.814011883
0,0.303432922,0.223220195,0.63223723,0.146506636,0.377012769,0.764144883,0.230240983,0.038272303,0.277744385,0.936223802,0.00226913,0.056786552,0.808976427
0,0.303391592,0.21896568,0.634338913,0.193034435,0.387275964,0.734030367,0.387480963,0.20786639,0.276574664,0.938561233,0.002245935,0.02305698,0.798103629
0,0.303456125,0.221896568,0.633345776,0.194515827,0.388057698,0.745811316,0.345390361,0.017860839,0.273255485,0.933883562,0.002274344,0.02884647,0.803444645
